step,habit_index,exploration_diversity,preference_stability
0,0.0000,20.80,0.00
100,0.7221,33.04,0.00
200,1.4609,41.12,25.00
300,0.7368,42.36,19.00
400,1.5778,43.84,21.60
500,1.3017,44.48,25.00
600,1.5561,44.88,25.00
700,1.7770,46.12,24.90
800,1.2111,48.20,24.75
900,0.5574,48.60,24.75
1000,1.9574,48.84,24.64
1100,1.7542,48.88,23.19
1200,1.6074,49.68,23.47
1300,1.4486,50.32,24.50
1400,1.8548,55.48,24.35
1500,1.6537,58.28,23.23
1600,0.3932,59.96,24.23
1700,0.9254,61.28,24.12
1800,0.0426,64.20,24.08
1900,0.1614,66.40,24.04
2000,0.6817,68.24,23.75
2100,2.3713,69.48,23.77
2200,0.9899,73.92,23.71
2300,0.7602,75.48,23.61
2400,0.2219,76.16,23.56
2500,0.0808,79.08,23.38
2600,1.4190,79.76,22.97
2700,0.9997,80.76,23.12
2800,0.8932,81.00,22.76
2900,-0.0000,81.20,22.86
3000,-0.0000,81.44,22.52
3100,0.9595,81.68,22.83
3200,1.4699,81.80,22.61
3300,1.3676,81.84,22.93
3400,1.1731,81.84,23.12
3500,1.3188,81.88,23.34
3600,1.0557,81.88,23.39
3700,0.9806,81.88,23.44
3800,0.6801,81.92,23.44
3900,0.0808,82.00,23.44
4000,0.1944,82.04,23.44
4100,-0.0000,82.04,23.44
4200,0.9715,82.04,23.39
4300,1.6220,82.04,23.34
4400,0.5574,82.24,23.34
4500,1.7577,82.24,23.27
4600,0.7834,82.24,23.21
4700,0.8977,82.40,23.06
4800,1.4165,82.44,23.01
4900,1.9635,82.44,23.03
5000,1.9761,82.48,22.96
5100,1.7491,82.68,22.96
5200,0.2491,82.68,22.74
5300,0.7653,82.68,22.89
5400,-0.0000,83.32,22.89
5500,-0.0000,83.84,22.89
5600,0.9341,84.60,22.89
5700,-0.0000,85.52,22.89
5800,1.4454,85.60,22.89
5900,1.6629,85.64,22.79
6000,0.1238,85.64,22.70
6100,0.8555,85.64,22.53
6200,0.5231,85.64,22.53
6300,1.0052,85.64,22.53
6400,-0.0000,85.64,22.53
6500,0.4365,85.64,22.53
6600,0.9896,85.64,22.53
6700,1.7531,85.64,22.53
6800,1.8271,85.64,22.53
6900,1.4855,85.64,22.53
7000,1.5848,85.64,22.53
7100,1.3198,85.64,22.53
7200,1.0701,85.76,22.53
7300,0.0808,86.24,22.53
7400,1.0452,86.28,22.53
7500,0.3225,86.32,22.01
7600,-0.0000,86.56,22.13
7700,1.0000,86.68,22.13
7800,-0.0000,86.80,22.13
7900,0.9815,86.80,22.13
8000,0.2423,86.80,22.13
8100,1.4583,87.24,22.06
8200,0.4040,87.48,21.88
8300,0.2687,87.60,21.57
8400,1.3515,87.96,21.66
8500,1.5832,88.16,21.50
8600,1.8666,88.36,21.23
8700,1.9046,89.00,21.33
8800,0.8719,90.00,21.33
8900,0.1858,90.08,21.33
9000,-0.0000,90.08,21.33
9100,-0.0000,90.08,21.33
9200,-0.0000,90.08,21.33
9300,-0.0000,90.08,21.33
9400,-0.0000,90.32,21.33
9500,-0.0000,90.88,21.33
9600,-0.0000,91.44,21.33
9700,-0.0000,91.44,21.33
9800,-0.0000,91.44,21.33
9900,-0.0000,91.48,21.33
10000,-0.0000,91.48,21.33
10100,-0.0000,91.48,21.33
10200,-0.0000,91.48,21.33
10300,-0.0000,91.48,21.33
10400,-0.0000,91.48,21.33
10500,-0.0000,91.52,21.33
10600,-0.0000,91.52,21.33
10700,0.2575,91.52,21.33
10800,-0.0000,91.56,21.33
10900,-0.0000,91.56,21.33
11000,0.9341,91.56,21.33
11100,-0.0000,91.56,21.33
11200,-0.0000,91.56,21.33
11300,-0.0000,91.56,21.33
11400,-0.0000,91.56,21.33
11500,-0.0000,91.56,21.33
11600,0.4491,91.56,21.33
11700,0.0664,91.56,21.33
11800,0.5179,91.56,21.33
11900,0.3503,91.56,21.33
12000,-0.0000,91.56,21.33
12100,-0.0000,91.56,21.33
12200,-0.0000,91.56,21.33
12300,0.2423,91.56,21.33
12400,-0.0000,91.56,21.33
12500,-0.0000,91.56,21.33
12600,0.2687,91.56,21.33
12700,1.3049,91.56,21.33
12800,1.8902,91.56,21.20
12900,0.5347,91.56,21.14
13000,-0.0000,91.56,21.14
13100,0.0664,91.56,21.14
13200,0.2182,91.56,21.14
13300,0.2435,91.56,21.14
13400,-0.0000,91.56,21.14
13500,-0.0000,91.56,21.14
13600,0.2435,91.56,21.14
13700,-0.0000,91.56,21.14
13800,0.2686,91.56,21.14
13900,0.2915,91.56,21.14
14000,-0.0000,91.56,21.14
14100,-0.0000,91.56,21.14
14200,0.3350,91.56,20.88
14300,-0.0000,91.56,20.80
14400,-0.0000,91.56,20.66
14500,-0.0000,91.56,20.33
14600,0.2161,91.56,20.28
14700,0.0664,91.56,20.17
14800,0.3386,91.56,19.88
14900,-0.0000,91.56,19.84
15000,0.0664,91.56,19.75
15100,0.3651,91.84,19.50
15200,0.3671,91.84,19.47
15300,0.5083,91.84,19.40
15400,0.5153,91.84,19.17
15500,0.4800,91.88,19.16
15600,0.4105,91.88,19.09
15700,-0.0000,91.88,18.89
15800,-0.0000,92.08,18.88
15900,0.3791,92.12,18.88
16000,-0.0000,92.12,18.88
16100,-0.0000,92.16,18.88
16200,0.2686,92.96,18.88
16300,-0.0000,92.96,18.88
16400,-0.0000,92.96,18.88
16500,-0.0000,92.96,18.88
16600,0.2522,93.04,18.88
16700,0.1858,93.04,18.88
16800,-0.0000,93.04,18.88
16900,-0.0000,93.04,18.88
17000,-0.0000,93.36,18.88
17100,0.7000,93.36,18.74
17200,0.1858,93.36,18.69
17300,0.1793,93.36,18.60
17400,-0.0000,93.36,18.45
17500,-0.0000,93.36,18.41
17600,0.7164,93.60,18.33
17700,-0.0000,93.60,18.20
17800,-0.0000,93.72,18.16
17900,0.5950,93.72,18.09
18000,-0.0000,94.04,17.97
18100,0.6406,94.04,17.94
18200,-0.0000,94.04,17.88
18300,0.1858,94.04,17.77
18400,-0.0000,94.04,17.74
18500,0.5562,94.24,17.72
18600,0.1858,94.24,17.72
