generation,lifespan,food_harvested,damage_accumulated,elite_score,goal_count,habit_index,exploration_diversity,procedural_inheritance_on,ecological_persistence_on,culture_on,goal_crystallization_on
0,2500,0,0.0000,2500.0000,0,1.3975,65.40,True,True,True,False
1,1753,0,0.0000,1753.0000,0,1.3386,58.36,True,True,True,False
2,513,0,1.0000,508.0000,0,0.4022,73.08,True,True,True,False
3,2256,0,0.5862,2253.0689,0,0.6083,44.36,True,True,True,False
4,3284,1,1.0000,3299.0000,0,0.7218,77.36,True,True,True,False
5,8464,2,0.3047,8502.4763,0,-0.0000,94.08,True,True,True,False
6,5798,0,0.0000,5798.0000,0,1.1509,78.60,True,True,True,False
7,2178,1,0.0213,2197.8937,0,0.3274,78.84,True,True,True,False
8,2331,0,0.0000,2331.0000,0,0.4276,49.24,True,True,True,False
9,8422,1,0.0000,8442.0000,0,-0.0000,79.96,True,True,True,False
10,2069,0,0.0000,2069.0000,0,0.4906,44.40,True,True,True,False
11,1759,0,0.0412,1758.7939,0,1.2647,51.96,True,True,True,False
12,2062,0,0.0000,2062.0000,0,1.5906,70.68,True,True,True,False
13,2263,1,0.0205,2282.8973,0,0.5000,57.96,True,True,True,False
14,1838,1,0.0000,1858.0000,0,1.6194,78.16,True,True,True,False
15,2172,1,0.1766,2191.1168,0,1.5738,85.36,True,True,True,False
16,912,0,1.0000,907.0000,0,-0.0000,36.20,True,True,True,False
17,2220,1,0.0695,2239.6523,0,1.2491,81.28,True,True,True,False
18,2344,2,0.0258,2383.8710,0,1.2098,93.32,True,True,True,False
19,2127,0,0.5696,2124.1522,0,1.0482,79.60,True,True,True,False
20,1466,0,0.1374,1465.3131,0,0.5288,82.88,True,True,True,False
21,1766,0,0.5557,1763.2214,0,-0.0000,39.96,True,True,True,False
22,2547,2,0.0000,2587.0000,0,1.2468,60.60,True,True,True,False
23,2187,0,0.9802,2182.0988,0,1.9850,77.40,True,True,True,False
24,2344,0,0.0000,2344.0000,0,0.9644,49.20,True,True,True,False
