generation,lifespan,food_harvested,damage_accumulated,elite_score,goal_count,habit_index,exploration_diversity,procedural_inheritance_on,ecological_persistence_on,culture_on,goal_crystallization_on
0,2116,0,0.0000,2116.0000,0,1.5205,80.68,False,True,True,True
1,108,0,1.0000,103.0000,0,2.3089,41.84,False,True,True,True
2,1947,0,0.0764,1946.6180,0,0.9087,81.36,False,True,True,True
3,2114,1,0.0000,2134.0000,0,0.5083,75.84,False,True,True,True
4,1871,1,0.3501,1889.2494,0,1.4815,81.16,False,True,True,True
5,1934,1,0.0318,1953.8412,0,0.9950,77.56,False,True,True,True
6,1014,1,1.0000,1029.0000,0,1.3335,75.00,False,True,True,True
7,1440,0,1.0000,1435.0000,0,-0.0000,42.56,False,True,True,True
8,10090,0,0.0593,10089.7037,0,0.0808,69.76,False,True,True,True
9,12766,2,0.0000,12806.0000,0,1.1917,55.88,False,True,True,True
10,4729,0,0.0000,4729.0000,0,0.6801,46.92,False,True,True,True
11,7311,1,0.0000,7331.0000,0,0.7971,57.60,False,True,True,True
12,4508,0,0.1151,4507.4246,0,1.5270,71.96,False,True,True,True
13,4625,0,0.3696,4623.1522,0,0.4623,48.20,False,True,True,True
14,4668,0,0.0000,4668.0000,0,1.1141,50.08,False,True,True,True
15,4294,0,0.0000,4294.0000,0,1.7685,50.72,False,True,True,True
16,4584,0,0.0435,4583.7824,0,0.8267,63.64,False,True,True,True
17,8145,0,0.0643,8144.6783,0,0.9341,49.56,False,True,True,True
18,8977,0,0.0000,8977.0000,0,1.8080,76.88,False,True,True,True
19,4338,0,0.0000,4338.0000,0,1.4713,74.04,False,True,True,True
20,10199,0,0.8665,10194.6673,0,0.5153,48.04,False,True,True,True
21,6954,1,0.0436,6973.7821,0,1.0308,63.96,False,True,True,True
22,4644,1,0.1280,4663.3600,0,2.2740,81.20,False,True,True,True
23,3738,0,0.0453,3737.7734,0,1.7636,75.80,False,True,True,True
24,1161,1,0.5951,1178.0247,0,-0.0000,36.76,False,True,True,True
