generation,lifespan,food_harvested,damage_accumulated,elite_score,goal_count,habit_index,exploration_diversity,procedural_inheritance_on,ecological_persistence_on,culture_on,goal_crystallization_on
0,2844,0,1.0000,2839.0000,0,-0.0000,100.00,True,False,True,True
1,5431,0,0.1034,5430.4829,0,1.4324,100.00,True,False,True,True
0,2510,0,1.0000,2505.0000,0,0.5292,100.00,True,True,True,True
0,468,0,1.0000,463.0000,0,1.7857,99.84,True,True,True,True
0,25915,0,0.9612,25910.1940,0,0.9800,100.00,True,True,True,True
0,9751,0,0.4388,9748.8060,0,0.8189,100.00,True,True,True,True
0,6494,0,1.0000,6489.0000,0,1.0609,100.00,True,True,True,True
0,10061,1,0.0003,10080.9986,1,2.6309,100.00,True,True,True,True
0,5431,0,0.0000,5431.0000,0,2.5157,100.00,True,True,True,True
0,2429,2,0.7717,2465.1417,0,0.9702,100.00,True,True,True,True
1,2391,0,0.4133,2388.9337,2,1.3843,100.00,True,True,True,True
1,1729,1,0.1254,1748.3732,0,0.7874,100.00,True,True,True,True
2,1485,1,0.1059,1504.4706,0,0.5043,100.00,True,True,True,True
0,6885,0,0.1303,6884.3484,0,0.8879,100.00,True,True,True,True
1,9361,1,0.1695,9380.1524,1,0.1944,100.00,True,True,True,True
0,7222,0,0.1097,7221.4515,0,1.2114,100.00,True,True,True,True
1,4055,0,0.0026,4054.9871,1,2.0853,100.00,True,True,True,True
0,3958,4,1.0000,4033.0000,0,-0.0000,100.00,True,True,True,True
0,6897,1,0.0000,6917.0000,1,1.1958,100.00,True,True,True,True
0,8776,1,0.3565,8794.2177,0,0.8368,100.00,True,True,True,True
0,2951,3,0.5612,3008.1939,3,2.2998,100.00,True,True,True,True
1,2248,3,0.0000,2308.0000,0,0.8794,100.00,True,True,True,True
2,2425,2,0.0000,2465.0000,0,1.1181,100.00,True,True,True,True
3,1496,0,0.0000,1496.0000,0,1.6725,100.00,True,True,True,True
0,9488,1,0.2707,1914.4353,0,1.2235,100.00,True,True,True,True
1,9454,0,0.5813,912.5235,0,0.7015,100.00,True,True,True,True
0,8759,1,1.0000,1902.7951,0,0.4749,100.00,True,True,True,True
1,7196,0,0.0297,887.9934,0,1.6114,100.00,True,True,True,True
2,10789,0,0.0000,928.6375,0,1.5324,100.00,True,True,True,True
3,9942,0,0.6487,917.2191,0,1.6465,100.00,True,True,True,True
4,4821,0,0.4453,845.8678,0,0.6805,100.00,True,True,True,True
0,2277,2,0.1607,2772.3017,2,1.4089,100.00,True,True,True,True
1,1657,1,0.8733,1736.9703,0,0.8503,100.00,True,True,True,True
2,2161,1,0.0102,1767.8277,2,0.4154,100.00,True,True,True,True
0,2714,3,0.2780,3789.2646,3,0.9896,100.00,True,True,True,True
1,2830,0,0.1307,794.1850,2,1.6225,100.00,True,True,True,True
2,1820,0,1.0000,745.7141,2,1.2619,100.00,True,True,True,True
3,1911,0,0.3819,753.6812,2,1.5784,100.00,True,True,True,True
4,1786,0,0.0278,748.6904,2,0.5956,100.00,True,True,True,True
0,2437,1,1.0000,1774.8933,1,1.7349,100.00,True,True,True,True
0,2563,1,0.1374,1784.2454,3,2.3908,100.00,True,True,True,True
0,2211,1,0.8263,1766.0338,1,1.4607,100.00,True,True,True,True
0,2049,1,0.8269,1758.4252,3,1.2102,100.00,True,True,True,True
1,970,0,0.1952,686.8565,1,2.1648,99.76,True,True,True,True
1,1951,0,0.0491,757.4155,3,1.6696,100.00,True,True,True,True
2,951,0,0.0000,685.8565,1,2.6565,100.00,True,True,True,True
2,1792,0,0.3492,747.4187,3,1.0826,100.00,True,True,True,True
3,1138,0,0.2963,702.3093,2,1.6382,99.88,True,True,True,True
3,1668,0,0.0000,741.9980,1,1.9374,100.00,True,True,True,True
4,1807,0,0.0000,749.9977,3,1.6532,100.00,True,True,True,True
4,1457,0,1.0000,723.4821,3,1.1749,100.00,True,True,True,True
5,1351,0,0.0000,720.9340,2,2.5208,100.00,True,True,True,True
5,1941,1,0.2503,1755.8961,4,0.9247,100.00,True,True,True,True
