step,wheel_effort,joint_effort,velocity,drain,energy_per_meter,energy,damage,state
0,0.003600,2.099117,0.007633,0.00001742,0.00228159,0.999980,0.000000,EXPLORER
100,0.163064,2.492716,0.108207,0.00013174,0.00121751,0.990995,0.000000,EXPLORER
200,0.538902,3.253958,0.151863,0.00013743,0.00090496,0.981741,0.000000,EXPLORER
300,0.021456,3.264529,0.238000,0.00022356,0.00093932,0.947062,0.000000,EXPLORER
400,0.310891,3.721571,0.330572,0.00039763,0.00120284,0.863783,0.000000,EXPLORER
500,0.700000,2.813213,0.234961,0.00028464,0.00121142,0.783780,0.000000,EXPLORER
600,0.438191,3.384395,0.041533,0.00006201,0.00149308,0.754957,0.000000,EXPLORER
700,0.700000,3.587121,0.006251,0.00021309,0.03408115,0.732780,0.000000,EXPLORER
800,0.700000,3.847620,0.008754,0.00021503,0.02456194,0.697260,0.000000,EXPLORER
900,0.700000,2.655884,0.020441,0.00020692,0.01012220,0.665851,0.000000,EXPLORER
1000,0.062223,3.782867,0.013774,0.00006473,0.00469908,0.649255,0.000000,EXPLORER
1100,0.700000,2.999001,0.173795,0.00021162,0.00121764,0.627810,0.000000,EXPLORER
1200,0.361232,3.572076,0.115526,0.00008429,0.00072957,0.596569,0.000000,EXPLORER
1300,0.300713,2.702724,0.135532,0.00014190,0.00104700,0.558835,0.000000,EXPLORER
1400,0.424695,2.130982,0.158955,0.00022160,0.00139413,0.505880,0.000000,EXPLORER
1500,0.130570,3.409251,0.060155,0.00009473,0.00157480,0.461613,0.000000,EXPLORER
1600,0.264633,2.992233,0.100059,0.00008215,0.00082104,0.437824,0.000000,EXPLORER
1700,0.148525,2.214848,0.023231,0.00007228,0.00311132,0.411060,0.000000,EXPLORER
1800,0.464361,2.703866,0.012702,0.00005726,0.00450777,0.391344,0.000000,EXPLORER
1900,0.442697,3.732714,0.044950,0.00021520,0.00478742,0.362974,0.000000,EXPLORER
2000,0.378040,3.517460,0.085701,0.00021437,0.00250129,0.340219,0.000000,EXPLORER
2100,0.063591,2.052457,0.173169,0.00019944,0.00115172,0.297384,0.000000,EXPLORER
