step,habit_index,exploration_diversity,preference_stability
0,0.0000,20.80,0.00
100,0.5043,41.32,0.00
200,0.2903,43.00,0.00
300,1.0461,43.52,0.00
400,1.9796,45.68,0.00
500,1.3593,52.36,0.00
600,0.6349,52.92,0.00
700,0.5000,52.92,0.00
800,0.5000,52.92,0.00
900,0.5274,52.92,0.00
1000,0.4422,53.00,0.00
1100,0.5000,53.00,0.00
1200,0.5000,53.00,0.00
1300,0.7591,53.04,0.00
1400,1.2011,54.24,0.00
1500,1.2696,54.96,0.00
1600,0.4623,55.00,0.00
1700,0.5307,55.00,0.00
1800,0.3694,55.00,0.00
1900,0.5000,55.00,0.00
2000,0.5083,55.00,0.00
2100,0.3215,55.08,0.00
2200,0.9596,56.04,0.00
2300,1.1948,56.60,0.00
2400,0.8719,58.32,0.00
2500,1.3975,65.40,0.00
2500,0.0000,7.44,0.00
2600,0.9936,31.16,0.00
2700,0.1748,32.80,0.00
2800,1.9736,32.96,0.00
2900,1.4734,41.84,0.00
3000,1.0707,44.24,0.00
3100,1.0222,45.32,0.00
3200,1.5426,46.52,0.00
3300,1.1660,47.40,0.00
3400,1.1058,57.68,0.00
3500,0.5873,58.20,0.00
3600,0.4954,58.24,0.00
3700,0.5274,58.28,0.00
3800,0.8021,58.32,0.00
3900,0.8550,58.36,0.00
4000,1.4819,58.36,0.00
4100,0.3874,58.36,0.00
4200,1.0917,58.36,0.00
4300,0.7609,27.04,0.00
4400,1.0406,31.20,0.00
4500,1.7910,46.32,0.00
4600,0.8054,65.20,0.00
4700,0.2687,71.68,0.00
4800,0.9071,27.92,0.00
4900,2.6534,37.24,0.00
5000,1.0443,38.08,0.00
5100,-0.0000,38.24,0.00
5200,-0.0000,38.24,0.00
5300,0.5929,38.32,0.00
5400,1.2206,38.40,0.00
5500,0.5707,38.40,0.00
5600,1.5377,38.76,0.00
5700,2.1495,38.80,0.00
5800,0.0144,38.80,0.00
5900,1.5658,38.80,0.00
6000,-0.0000,38.88,0.00
6100,1.4570,38.88,0.00
6200,-0.0000,38.88,0.00
6300,0.4999,38.88,0.00
6400,0.9997,38.88,0.00
6500,0.8932,38.88,0.00
6600,0.7219,38.88,0.00
6700,0.4022,38.88,0.00
6800,0.1414,38.88,0.00
6900,0.9710,40.20,0.00
7000,0.7641,44.24,0.00
7100,1.9389,29.84,0.00
7200,1.7732,36.04,0.00
7300,0.6883,56.40,0.00
7400,0.3664,65.60,0.00
7500,1.4174,66.48,0.00
7600,1.0707,66.52,0.00
7700,0.9648,66.84,0.00
7800,1.0701,67.08,0.00
7900,0.3009,67.20,0.00
8000,1.8115,68.60,0.00
8100,1.0707,70.24,0.00
8200,1.4323,70.68,0.00
8300,0.8113,70.84,0.00
8400,1.0707,70.88,0.00
8500,1.5138,71.72,0.00
8600,0.1414,72.48,0.00
8700,-0.0000,73.12,0.00
8800,0.5574,73.80,0.00
8900,0.5294,75.28,0.00
9000,0.0808,75.48,0.00
9100,-0.0000,75.68,0.00
9200,-0.0000,75.72,0.00
9300,0.8113,75.72,0.00
9400,1.3205,75.72,0.00
9500,0.1414,75.72,0.00
9600,1.2830,75.80,0.00
9700,0.5661,76.20,0.00
9800,0.5159,76.48,0.00
9900,-0.0000,76.84,0.00
10000,0.2423,77.12,0.00
10100,1.2329,77.12,0.00
10200,0.0286,77.36,0.00
10300,0.7320,77.36,0.00
10400,1.3830,28.00,0.00
10500,1.5083,29.96,0.00
10600,1.4342,30.76,0.00
10700,1.5061,32.20,0.00
10800,0.9184,32.80,0.00
10900,0.0144,33.96,0.00
11000,0.9974,35.52,0.00
11100,1.4190,37.00,0.00
11200,1.2484,44.72,0.00
11300,1.5803,57.64,0.00
11400,1.3639,60.80,0.00
11500,2.0909,60.96,0.00
11600,1.7067,61.16,0.00
11700,1.8622,61.32,0.00
11800,0.9737,61.72,0.00
11900,1.0995,61.72,0.00
12000,0.8067,61.84,0.00
12100,0.8213,62.60,0.00
12200,1.8914,62.60,0.00
12300,0.9997,65.08,0.00
12400,0.4022,75.52,0.00
12500,1.0690,76.36,0.00
12600,1.6068,77.56,0.00
12700,1.2896,80.28,0.00
12800,0.9997,81.20,0.00
12900,0.2864,82.36,0.00
13000,0.8687,82.40,0.00
13100,-0.0000,82.44,0.00
13200,-0.0000,82.52,0.00
13300,0.2747,82.52,0.00
13400,-0.0000,82.56,0.00
13500,0.7415,82.56,0.00
13600,1.4633,82.56,0.00
13700,1.4406,82.60,0.00
13800,0.5842,82.60,0.00
13900,0.4999,82.60,0.00
14000,1.0783,82.60,0.00
14100,0.6343,82.60,0.00
14200,1.1625,82.84,0.00
14300,0.9858,90.84,0.00
14400,0.8708,93.24,0.00
14500,1.0204,93.48,0.00
14600,-0.0000,93.52,0.00
14700,-0.0000,93.52,0.00
14800,-0.0000,93.56,0.00
14900,-0.0000,93.56,0.00
15000,-0.0000,93.56,0.00
15100,-0.0000,93.56,0.00
15200,-0.0000,93.56,0.00
15300,-0.0000,93.56,0.00
15400,-0.0000,93.56,0.00
15500,-0.0000,93.56,0.00
15600,-0.0000,93.56,0.00
15700,-0.0000,93.56,0.00
15800,-0.0000,93.56,0.00
15900,-0.0000,93.56,0.00
16000,-0.0000,93.56,0.00
16100,-0.0000,93.56,0.00
16200,-0.0000,93.56,0.00
16300,-0.0000,93.56,0.00
16400,-0.0000,93.56,0.00
16500,-0.0000,93.56,0.00
16600,-0.0000,93.56,0.00
16700,-0.0000,93.56,0.00
16800,-0.0000,93.56,0.00
16900,-0.0000,93.56,0.00
17000,-0.0000,93.56,0.00
17100,-0.0000,93.56,0.00
17200,-0.0000,93.56,0.00
17300,-0.0000,93.56,0.00
17400,-0.0000,93.56,0.00
17500,-0.0000,93.56,0.00
17600,-0.0000,93.56,0.00
17700,-0.0000,93.56,0.00
17800,-0.0000,93.56,0.00
17900,-0.0000,93.56,0.00
18000,-0.0000,93.56,0.00
18100,0.7415,93.64,0.00
18200,1.0279,93.64,0.00
18300,-0.0000,93.64,0.00
18400,0.9988,93.92,0.00
18500,0.4022,93.96,0.00
18600,-0.0000,93.96,0.00
18700,-0.0000,94.04,0.00
18800,0.9116,9.00,0.00
18900,1.0457,31.32,0.00
19000,1.3877,33.20,0.00
19100,1.3407,34.08,0.00
19200,0.1414,35.32,0.00
19300,0.7602,37.04,0.00
19400,-0.0000,38.04,0.00
19500,-0.0000,38.60,0.00
19600,0.4999,39.48,0.00
19700,1.9550,41.64,0.00
19800,0.4022,45.48,0.00
19900,0.3274,49.16,0.00
20000,0.8415,52.84,0.00
20100,0.9997,55.80,0.00
20200,0.0808,57.84,0.00
20300,-0.0000,64.72,0.00
20400,1.3242,68.96,0.00
20500,0.2348,69.52,0.00
20600,1.3964,70.20,0.00
20700,-0.0000,71.04,0.00
20800,-0.0000,71.12,0.00
20900,0.8555,71.32,0.00
21000,0.4999,71.56,0.00
21100,0.3659,71.72,0.00
21200,0.9954,72.04,0.00
21300,0.6343,72.24,0.00
21400,0.4999,72.24,0.00
21500,-0.0000,72.92,0.00
21600,-0.0000,73.48,0.00
21700,0.7015,73.84,0.00
21800,0.8555,75.52,0.00
21900,-0.0000,76.64,0.00
22000,1.0000,76.88,0.00
22100,0.5483,77.08,0.00
22200,1.0160,77.12,0.00
22300,-0.0000,77.12,0.00
22400,0.9997,77.12,0.00
22500,-0.0000,77.12,0.00
22600,0.2423,77.12,0.00
22700,-0.0000,77.12,0.00
22800,-0.0000,77.12,0.00
22900,1.6320,77.12,0.00
23000,1.6527,77.12,0.00
23100,0.4854,77.12,0.00
23200,0.1496,77.12,0.00
23300,0.8267,77.12,0.00
23400,1.2327,77.12,0.00
23500,-0.0000,77.12,0.00
23600,-0.0000,77.28,0.00
23700,1.0211,77.40,0.00
23800,-0.0000,77.44,0.00
23900,0.4690,77.44,0.00
24000,0.1414,77.44,0.00
24100,1.1045,77.44,0.00
24200,0.6801,77.60,0.00
24300,-0.0000,77.76,0.00
24400,0.6343,77.76,0.00
24500,0.7415,77.76,0.00
24600,1.4727,20.08,0.00
24700,2.1482,34.40,0.00
24800,0.5574,43.76,0.00
24900,0.6577,46.48,0.00
25000,0.3274,50.20,0.00
25100,0.7015,52.04,0.00
25200,-0.0000,55.24,0.00
25300,0.9954,67.16,0.00
25400,0.9765,71.48,0.00
25500,0.6801,72.24,0.00
25600,1.3692,75.52,0.00
25700,1.6915,77.76,0.00
25800,1.4866,77.84,0.00
25900,1.1045,77.84,0.00
26000,1.1058,78.36,0.00
26100,1.1382,78.36,0.00
26200,0.6078,78.56,0.00
26300,0.9341,78.56,0.00
26400,1.0248,78.56,0.00
26500,1.1428,78.56,0.00
26600,1.5114,78.56,0.00
26700,0.0808,78.84,0.00
26800,0.8347,26.24,0.00
26900,1.7084,34.12,0.00
27000,1.7283,41.88,0.00
27100,1.5424,44.24,0.00
27200,0.5083,44.76,0.00
27300,0.5256,45.24,0.00
27400,0.4040,45.24,0.00
27500,0.5120,45.24,0.00
27600,0.5120,45.24,0.00
27700,0.5305,45.24,0.00
27800,0.4121,45.24,0.00
27900,1.3431,45.32,0.00
28000,1.3254,46.00,0.00
28100,1.4712,47.08,0.00
28200,1.8911,47.72,0.00
28300,1.1172,49.20,0.00
28400,0.4854,49.24,0.00
28500,0.4491,49.24,0.00
28600,0.5256,49.24,0.00
28700,0.5184,49.24,0.00
28800,0.4906,49.24,0.00
28900,0.4684,49.24,0.00
29000,0.5043,49.24,0.00
29100,0.7852,7.48,0.00
29200,1.0542,22.92,0.00
29300,0.9974,30.60,0.00
29400,1.0384,32.92,0.00
29500,-0.0000,34.48,0.00
29600,-0.0000,36.00,0.00
29700,1.5457,36.08,0.00
29800,0.8879,37.24,0.00
29900,0.0808,38.56,0.00
30000,0.9997,38.64,0.00
30100,0.9997,40.48,0.00
30200,1.2625,40.64,0.00
30300,0.9248,43.56,0.00
30400,-0.0000,48.04,0.00
30500,0.9149,50.44,0.00
30600,0.9648,53.48,0.00
30700,-0.0000,55.16,0.00
30800,-0.0000,57.52,0.00
30900,0.3409,62.28,0.00
31000,1.0962,67.00,0.00
31100,-0.0000,70.72,0.00
31200,-0.0000,71.52,0.00
31300,0.6098,71.92,0.00
31400,-0.0000,71.96,0.00
31500,-0.0000,72.12,0.00
31600,0.4022,72.44,0.00
31700,0.6098,73.00,0.00
31800,0.9648,73.04,0.00
31900,0.0808,73.44,0.00
32000,-0.0000,73.56,0.00
32100,-0.0000,74.12,0.00
32200,1.4874,75.40,0.00
32300,0.5842,76.68,0.00
32400,0.9858,77.12,0.00
32500,0.2747,77.40,0.00
32600,0.8555,77.40,0.00
32700,1.4948,77.44,0.00
