generation,lifespan,food_harvested,damage_accumulated,elite_score,goal_count,habit_index,exploration_diversity,procedural_inheritance_on,ecological_persistence_on,culture_on,goal_crystallization_on
0,4262,0,0.0000,4262.0000,0,1.3367,71.96,True,True,True,True
1,26620,5,0.7840,26716.0798,0,1.2940,93.68,True,True,True,True
2,1694,1,0.0560,1713.7201,0,1.3341,78.20,True,True,True,True
3,1848,0,0.9705,1843.1475,2,0.4684,48.56,True,True,True,True
4,1532,0,0.1171,1531.4143,0,1.6566,77.76,True,True,True,True
5,1889,0,0.1275,1888.3623,0,0.5000,76.28,True,True,True,True
6,6324,2,0.0000,6364.0000,0,0.9763,71.76,True,True,True,True
7,7758,0,0.7849,7754.0757,0,0.5083,81.08,True,True,True,True
8,3260,1,0.0235,3279.8823,2,1.3975,83.24,True,True,True,True
9,818,0,1.0000,813.0000,3,1.4855,62.40,True,True,True,True
10,9590,0,0.1084,9589.4581,0,-0.0000,76.28,True,True,True,True
11,8724,0,0.0000,8724.0000,0,0.9427,80.68,True,True,True,True
12,10791,2,0.2334,10829.8328,0,0.6577,57.84,True,True,True,True
13,5344,0,0.0334,5343.8329,1,-0.0000,78.68,True,True,True,True
0,1260,1,1.0000,1275.0000,0,1.6015,85.36,True,True,True,True
14,5996,0,0.0000,5996.0000,1,0.4623,46.04,True,True,True,True
15,8203,2,0.0820,8242.5901,0,-0.0000,82.84,True,True,True,True
16,24984,1,0.0018,25003.9910,0,0.9997,92.60,True,True,True,True
17,6261,0,1.0000,6256.0000,0,-0.0000,76.16,True,True,True,True
18,3435,0,1.0000,3430.0000,0,-0.0000,37.84,True,True,True,True
19,29261,0,0.0108,29260.9459,0,0.2231,41.20,True,True,True,True
20,28756,0,0.0000,28756.0000,0,0.8813,63.28,True,True,True,True
21,7244,0,0.0000,7244.0000,0,1.5455,62.92,True,True,True,True
22,5067,1,0.6719,5083.6403,0,1.5307,51.48,True,True,True,True
23,13349,1,0.0000,13369.0000,0,0.7219,74.52,True,True,True,True
24,5903,1,0.0000,5923.0000,0,0.5026,51.28,True,True,True,True
