generation,lifespan,food_harvested,damage_accumulated,elite_score,goal_count,habit_index,exploration_diversity,procedural_inheritance_on,ecological_persistence_on,culture_on,goal_crystallization_on
0,8070,0,0.0000,8070.0000,0,0.5842,58.88,True,False,True,True
1,7628,0,0.0000,7628.0000,0,0.3113,77.96,True,False,True,True
2,8465,0,0.0000,8465.0000,0,0.5842,91.20,True,False,True,True
3,7130,0,0.0248,7129.8762,0,0.4558,57.12,True,False,True,True
4,20606,0,0.4622,20603.6892,0,0.0808,81.08,True,False,True,True
5,26077,0,0.0000,26077.0000,0,0.3508,50.44,True,False,True,True
6,29668,0,0.0000,29668.0000,0,1.5547,75.40,True,False,True,True
7,21761,0,0.0000,21761.0000,0,0.7415,71.12,True,False,True,True
8,5374,0,1.0000,5369.0000,0,-0.0000,64.20,True,False,True,True
9,24335,0,0.0091,24334.9547,1,1.4270,62.40,True,False,True,True
10,12238,0,0.0976,12237.5121,0,0.4690,56.08,True,False,True,True
11,15083,0,0.0018,15082.9912,0,1.4323,72.96,True,False,True,True
12,25525,1,0.0054,25544.9731,0,-0.0000,68.40,True,False,True,True
13,29319,0,0.0000,29319.0000,1,0.3659,74.68,True,False,True,True
14,27690,2,0.0104,27729.9479,0,0.9937,84.24,True,False,True,True
15,4349,0,0.7774,4345.1131,0,-0.0000,32.32,True,False,True,True
16,7754,0,1.0000,7749.0000,0,-0.0000,38.96,True,False,True,True
17,5574,0,0.0000,5574.0000,0,-0.0000,63.56,True,False,True,True
18,20588,0,0.0000,20588.0000,0,1.2640,46.92,True,False,True,True
19,4204,0,0.0000,4204.0000,0,1.4807,53.20,True,False,True,True
20,5494,1,0.0000,5514.0000,0,0.9285,72.68,True,False,True,True
21,11882,0,0.6537,11878.7314,0,0.5842,66.16,True,False,True,True
22,30688,0,0.0000,30688.0000,0,0.2864,74.68,True,False,True,True
23,9957,0,1.0000,9952.0000,0,-0.0000,59.84,True,False,True,True
24,21606,0,0.0000,21606.0000,0,0.2219,66.08,True,False,True,True
