step,wheel_effort,joint_effort,velocity,drain,energy_per_meter,energy,damage,state
0,0.700000,2.906292,0.026216,0.00011300,0.00431029,0.999702,0.000000,EXPLORER
100,0.157060,3.194216,0.293846,0.00023577,0.00080237,0.949607,0.000000,EXPLORER
200,0.451768,3.272806,0.030339,0.00017411,0.00573855,0.896965,0.000000,EXPLORER
300,0.322489,3.703802,0.112286,0.00019534,0.00173969,0.856010,0.000000,EXPLORER
400,0.491280,2.503905,0.101248,0.00015728,0.00155339,0.773175,0.000000,EXPLORER
500,0.083581,2.670105,0.005190,0.00009629,0.01854907,0.733251,0.000000,EXPLORER
600,0.368265,3.801697,0.102225,0.00014972,0.00146458,0.666715,0.000000,EXPLORER
700,0.180801,3.886044,0.112878,0.00014179,0.00125612,0.636821,0.000000,EXPLORER
800,0.700000,3.475414,0.098692,0.00021383,0.00216661,0.626669,0.000000,EXPLORER
900,0.700000,2.626757,0.012039,0.00013079,0.01086344,0.615030,0.000000,EXPLORER
1000,0.121522,2.473327,0.062623,0.00015106,0.00241224,0.605814,0.000000,EXPLORER
1100,0.149106,3.446128,0.096391,0.00015838,0.00164312,0.595823,0.000000,EXPLORER
1200,0.391303,3.704638,0.055238,0.00016020,0.00290015,0.585445,0.000000,EXPLORER
1300,0.253422,2.601503,0.102223,0.00011462,0.00112124,0.575025,0.000000,EXPLORER
1400,0.615857,2.508793,0.062980,0.00013226,0.00209991,0.566695,0.000000,EXPLORER
1500,0.342118,2.787028,0.324807,0.00015833,0.00048745,0.554745,0.000000,EXPLORER
1600,0.161017,3.289612,0.094973,0.00013718,0.00144435,0.546588,0.000000,EXPLORER
1700,0.142978,2.305091,0.037466,0.00010633,0.00283811,0.539053,0.000000,EXPLORER
1800,0.215725,2.087246,0.061802,0.00006271,0.00101465,0.531643,0.000000,EXPLORER
1900,0.354055,3.121367,0.007431,0.00013361,0.01797789,0.523607,0.000000,EXPLORER
2000,0.328979,3.400254,0.200285,0.00021383,0.00106763,0.512657,0.000000,EXPLORER
2100,0.363988,2.188986,0.050936,0.00012487,0.00245145,0.504065,0.000000,EXPLORER
2200,0.281216,1.807085,0.043453,0.00012849,0.00295694,0.495880,0.000000,EXPLORER
2300,0.592106,1.563121,0.118964,0.00012492,0.00105003,0.487340,0.000000,EXPLORER
2400,0.176886,3.438081,0.245802,0.00014081,0.00057285,0.478495,0.000000,EXPLORER
2500,0.179479,2.746146,0.134967,0.00014208,0.00105267,0.470451,0.000000,EXPLORER
2600,0.166451,2.016498,0.106965,0.00012816,0.00119812,0.461509,0.000000,EXPLORER
2700,0.212558,1.967549,0.061906,0.00014762,0.00238448,0.453308,0.000000,EXPLORER
