step,wheel_effort,joint_effort,velocity,drain,energy_per_meter,energy,damage,state
0,0.003598,2.098029,0.007628,0.00001741,0.00228249,0.999980,0.000000,EXPLORER
100,0.049016,2.682655,0.020928,0.00015194,0.00725996,0.990231,0.000000,EXPLORER
200,0.069399,3.265067,0.024835,0.00013630,0.00548802,0.982408,0.000000,EXPLORER
300,0.342746,3.420934,0.174529,0.00020869,0.00119570,0.968983,0.000000,EXPLORER
400,0.296434,3.282667,0.325162,0.00034441,0.00105918,0.903788,0.000000,EXPLORER
500,0.580228,2.651389,0.094910,0.00017589,0.00185325,0.838769,0.000000,EXPLORER
600,0.214372,3.706185,0.172619,0.00014440,0.00083655,0.801542,0.000000,EXPLORER
700,0.700000,3.456163,0.208759,0.00028610,0.00137049,0.740471,0.000000,EXPLORER
800,0.174094,3.529238,0.064644,0.00017387,0.00268968,0.695956,0.000000,EXPLORER
900,0.223475,2.730698,0.193356,0.00019639,0.00101571,0.660596,0.000000,EXPLORER
1000,0.619635,3.900058,0.181982,0.00012238,0.00067248,0.617794,0.000000,EXPLORER
1100,0.700000,3.775091,0.040960,0.00019505,0.00476197,0.578942,0.000000,EXPLORER
1200,0.575820,3.542275,0.073079,0.00017339,0.00237261,0.540088,0.000000,EXPLORER
1300,0.700000,1.813764,0.030099,0.00018133,0.00602436,0.503579,0.000000,EXPLORER
1400,0.392842,3.897544,0.428873,0.00014718,0.00034317,0.465615,0.000000,EXPLORER
1500,0.190015,3.604474,0.223788,0.00014168,0.00063311,0.425573,0.000000,EXPLORER
1600,0.196140,3.356437,0.489672,0.00018859,0.00038514,0.390362,0.000000,EXPLORER
1700,0.095569,2.596094,0.272959,0.00015152,0.00055510,0.341745,0.000000,EXPLORER
1800,0.311515,3.531496,0.373389,0.00039313,0.00105287,0.263973,0.000000,EXPLORER
1900,0.476280,3.263512,0.244915,0.00030141,0.00123067,0.174054,0.000000,EXPLORER
2000,0.700000,1.866881,0.270059,0.00024896,0.00092188,0.079897,0.000000,EXPLORER
2100,0.700000,2.915927,0.235341,0.00027670,0.00117575,0.007589,0.000000,EXPLORER
2200,0.546600,3.617998,1.350970,0.00018612,0.00013777,0.946722,0.730476,EXPLORER
2300,0.700000,3.369783,0.065471,0.00008379,0.00127977,0.954304,0.000000,EXPLORER
2400,0.174448,3.236230,0.002954,0.00014423,0.04880767,0.911799,0.000000,EXPLORER
2500,0.425067,3.435552,0.225403,0.00013785,0.00061156,0.861517,0.000000,EXPLORER
2600,0.200838,3.572594,0.061992,0.00015896,0.00256409,0.813471,0.000000,EXPLORER
2700,0.369456,2.474330,0.099433,0.00015206,0.00152924,0.770473,0.000000,EXPLORER
2800,0.150555,3.789160,0.079053,0.00021573,0.00272895,0.724148,0.000000,EXPLORER
2900,0.700000,3.135458,0.153101,0.00024146,0.00157711,0.642806,0.000000,EXPLORER
3000,0.459712,3.624881,0.342499,0.00013064,0.00038144,0.596601,0.000000,EXPLORER
3100,0.114655,2.304242,0.186360,0.00019547,0.00104886,0.545879,0.000000,EXPLORER
3200,0.047926,4.786625,0.103099,0.00016634,0.00161342,0.510646,0.000000,EXPLORER
3300,0.441023,2.538936,0.280893,0.00018266,0.00065026,0.477808,0.041002,EXPLORER
