step,wheel_effort,joint_effort,velocity,drain,energy_per_meter,energy,damage,state
0,0.006782,2.306017,0.012549,0.00001854,0.00147747,0.999925,0.000000,EXPLORER
100,0.375329,2.968568,0.130692,0.00014309,0.00109487,0.988884,0.000000,EXPLORER
200,0.262787,3.432656,0.100820,0.00015847,0.00157181,0.977647,0.000000,EXPLORER
300,0.700000,3.343177,0.006498,0.00012970,0.01995598,0.965671,0.000000,EXPLORER
400,0.700000,3.531982,0.156996,0.00022944,0.00146140,0.950788,0.000000,EXPLORER
500,0.680515,3.360416,0.306935,0.00029271,0.00095364,0.937563,0.000000,EXPLORER
600,0.309622,3.349190,0.042272,0.00016273,0.00384953,0.924137,0.000000,EXPLORER
700,0.614926,3.723351,0.279584,0.00034776,0.00124383,0.911104,0.000000,EXPLORER
800,0.700000,3.671054,0.168416,0.00017983,0.00106778,0.890685,0.000000,EXPLORER
900,0.503937,2.246185,0.056432,0.00014684,0.00260204,0.876528,0.000000,EXPLORER
1000,0.700000,2.826965,0.154104,0.00014245,0.00092437,0.856753,0.000000,EXPLORER
1100,0.204933,3.704230,0.438784,0.00039702,0.00090481,0.838846,0.000000,EXPLORER
1200,0.273269,3.348761,0.237451,0.00026421,0.00111268,0.821259,0.000000,EXPLORER
1300,0.565381,2.425336,0.073220,0.00016210,0.00221383,0.807913,0.000000,EXPLORER
1400,0.700000,2.694850,0.229646,0.00017714,0.00077136,0.795254,0.000000,EXPLORER
1500,0.249585,3.263086,0.097031,0.00010447,0.00107662,0.788422,0.000000,EXPLORER
1600,0.522598,3.677365,0.026150,0.00010391,0.00397358,0.775743,0.000000,EXPLORER
1700,0.239195,2.715641,0.040918,0.00009408,0.00229907,0.766037,0.000000,EXPLORER
1800,0.419563,2.346301,0.108867,0.00007437,0.00068314,0.758354,0.000000,EXPLORER
1900,0.700000,3.347429,0.039623,0.00017145,0.00432690,0.749795,0.000000,EXPLORER
